date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed,day_of_week,month,season,is_weekend,aqi_lag_1,aqi_lag_2,aqi_lag_7,aqi_3day_avg,aqi_7day_avg,aqi_30day_avg,temp_humidity_interaction,pressure_wind_interaction,pm25_pm10_ratio,co_no2_ratio
2025-02-02,4.416666666666667,1443.0683333333334,3.519166666666667,38.05708333333333,98.185,27.88458333333333,83.01041666666667,124.49708333333332,21.271666666666665,21.2,27.0,1015.1,9.7,6,2,1,1,4.666666666666667,3.208333333333333,4.875,4.097222222222221,4.166666666666667,4.569444444444445,572.4,9846.47,0.666765949670045,37.91852052285001
2025-02-03,3.8333333333333335,1275.2025,4.510416666666667,32.31583333333334,112.11625,20.779166666666665,78.72958333333334,115.69875,16.688333333333333,20.7,40.0,1014.6,9.0,0,2,1,0,4.416666666666667,4.666666666666667,4.916666666666667,4.305555555555555,4.011904761904762,4.579166666666667,828.0,9131.4,0.6804704688068183,39.4606089029441
2025-02-04,3.375,917.7720833333332,2.0458333333333334,29.78125,94.07125,9.435833333333331,36.96,71.21625,11.671666666666669,20.7,49.0,1016.0,10.1,1,2,1,0,3.8333333333333335,4.416666666666667,4.208333333333333,3.8749999999999996,3.892857142857143,4.534722222222222,1014.3,10261.6,0.5189826687170039,30.81710984314706
2025-02-05,4.791666666666667,4132.270833333333,31.703333333333333,118.5125,49.32958333333334,39.76041666666666,222.70625,290.7083333333333,49.13791666666666,19.9,42.0,1016.6,8.0,2,2,1,0,3.375,3.8333333333333335,3.875,4.0,4.023809523809524,4.545833333333333,835.8,8132.8,0.7660814077130639,34.86780549280057
2025-02-06,4.541666666666667,2087.8329166666667,11.755833333333332,60.64125000000001,82.28291666666667,47.0275,105.20375,169.13875,30.304583333333337,21.5,23.0,1016.9,9.7,3,2,1,0,4.791666666666667,3.375,3.875,4.236111111111111,4.119047619047619,4.548611111111112,494.5,9863.929999999998,0.621996729773652,34.42925207243278
2025-02-07,4.625,1619.975416666667,2.5091666666666668,50.62416666666667,94.5025,38.861666666666665,91.24791666666664,154.88541666666666,24.202916666666667,22.9,19.0,1016.5,10.1,4,2,1,0,4.541666666666667,4.791666666666667,3.208333333333333,4.652777777777778,4.321428571428571,4.538888888888889,435.09999999999997,10266.65,0.5891317468184377,32.00004052083082
2025-02-08,5.0,2809.365,5.252916666666667,90.80125,83.04,31.40125,198.5595833333333,270.77625,32.37291666666667,21.7,31.0,1014.7,8.2,5,2,1,1,4.625,4.541666666666667,4.666666666666667,4.722222222222222,4.3690476190476195,4.538888888888889,672.6999999999999,8320.539999999999,0.7332976307930835,30.939716898834355
2025-02-09,5.0,2890.8641666666667,11.140833333333331,86.01666666666667,116.88541666666669,22.292916666666667,217.56208333333333,262.1479166666667,27.33625,21.3,46.0,1013.6,7.5,6,2,1,1,5.0,4.625,4.416666666666667,4.875,4.4523809523809526,4.538888888888889,979.8000000000001,7602.0,0.8299210814635335,33.60818600726775
2025-02-10,4.666666666666667,970.6216666666668,2.7670833333333333,25.839583333333334,106.14125,8.200416666666667,89.12,116.30291666666666,7.567083333333333,21.8,74.0,1014.3,9.5,0,2,1,0,5.0,5.0,3.8333333333333335,4.888888888888889,4.571428571428571,4.531944444444444,1613.2,9635.85,0.7662748432109413,37.56336224861615
2025-02-11,3.583333333333333,1000.94125,1.6762499999999998,33.2975,65.44583333333334,9.372083333333334,54.759166666666665,105.1625,8.464166666666666,22.9,75.0,1014.7,9.7,1,2,1,0,4.666666666666667,5.0,3.375,4.416666666666667,4.601190476190476,4.484722222222222,1717.5,9842.59,0.5207100073310986,30.060551691251547
2025-02-12,5.0,5486.32875,28.326666666666668,158.8825,73.5525,36.388333333333335,364.4591666666667,471.02583333333337,48.98041666666666,23.5,52.0,1016.3,6.8,2,2,1,0,3.583333333333333,4.666666666666667,4.791666666666667,4.416666666666667,4.630952380952381,4.484722222222222,1222.0,6910.839999999999,0.7737562148422372,34.53073003930118
2025-02-13,4.541666666666667,3709.752916666667,21.60083333333333,93.59041666666668,136.11125,37.087916666666665,290.8483333333333,379.4116666666666,34.783750000000005,23.0,54.0,1015.9,7.5,3,2,1,0,5.0,3.583333333333333,4.541666666666667,4.375,4.630952380952381,4.469444444444444,1242.0,7619.25,0.7665771986455069,39.63817032935348
